"Time","latency"
2023-10-15 23:23:30,126983
2023-10-15 23:23:31,124819
2023-10-15 23:23:32,123757
2023-10-15 23:23:33,122917
2023-10-15 23:23:34,125348
2023-10-15 23:23:35,125468
2023-10-15 23:23:36,125189
2023-10-15 23:23:37,125850
2023-10-15 23:23:38,126235
2023-10-15 23:23:39,124405
2023-10-15 23:23:40,124697
2023-10-15 23:23:41,124576
2023-10-15 23:23:42,123786
2023-10-15 23:23:43,124576
2023-10-15 23:23:44,124260
2023-10-15 23:23:45,125433
2023-10-15 23:23:46,124870
2023-10-15 23:23:47,123215
2023-10-15 23:23:48,125526
2023-10-15 23:23:49,124223
2023-10-15 23:23:50,126421
2023-10-15 23:23:51,125856
2023-10-15 23:23:52,128324
2023-10-15 23:23:53,124832
2023-10-15 23:23:54,123736
2023-10-15 23:23:55,124204
2023-10-15 23:23:56,124081
2023-10-15 23:23:57,124276
2023-10-15 23:23:58,123632
2023-10-15 23:23:59,125356
2023-10-15 23:24:00,123648
2023-10-15 23:24:02,125680
2023-10-15 23:24:03,124170
2023-10-15 23:24:04,123877
2023-10-15 23:24:05,123118
2023-10-15 23:24:06,123435
2023-10-15 23:24:07,125168
2023-10-15 23:24:08,124169
2023-10-15 23:24:09,123231
2023-10-15 23:24:10,123316
2023-10-15 23:24:11,124349
2023-10-15 23:24:12,124446
2023-10-15 23:24:13,124251
2023-10-15 23:24:14,123787
2023-10-15 23:24:15,123227
2023-10-15 23:24:16,124257
2023-10-15 23:24:17,123475
2023-10-15 23:24:18,123994
2023-10-15 23:24:19,123548
2023-10-15 23:24:20,124370
2023-10-15 23:24:21,125102
2023-10-15 23:24:22,123655
2023-10-15 23:24:23,124045
2023-10-15 23:24:24,126329
2023-10-15 23:24:25,125358
2023-10-15 23:24:26,125022
2023-10-15 23:24:27,123630
2023-10-15 23:24:28,125286
2023-10-15 23:24:29,124662
2023-10-15 23:24:30,123958
2023-10-15 23:24:31,123460
2023-10-15 23:24:32,125074
2023-10-15 23:24:33,124435
2023-10-15 23:24:34,123259
2023-10-15 23:24:35,123269
2023-10-15 23:24:36,123922
2023-10-15 23:24:37,122448
2023-10-15 23:24:39,125147
2023-10-15 23:24:40,132026
2023-10-15 23:24:41,126600
2023-10-15 23:24:42,125617
2023-10-15 23:24:43,126851
2023-10-15 23:24:44,126980
2023-10-15 23:24:45,127088
2023-10-15 23:24:46,125751
2023-10-15 23:24:47,127248
2023-10-15 23:24:48,125677
2023-10-15 23:24:49,125118
2023-10-15 23:24:50,125101
2023-10-15 23:24:51,124037
2023-10-15 23:24:52,123725
2023-10-15 23:24:53,123769
2023-10-15 23:24:54,124006
2023-10-15 23:24:55,123985
2023-10-15 23:24:56,126956
2023-10-15 23:24:57,124494
2023-10-15 23:24:58,123929
2023-10-15 23:24:59,124578
2023-10-15 23:25:00,124578
2023-10-15 23:25:01,126718
2023-10-15 23:25:02,124677
2023-10-15 23:25:03,124206
2023-10-15 23:25:04,124181
2023-10-15 23:25:05,124615
2023-10-15 23:25:06,125432
2023-10-15 23:25:07,125053
2023-10-15 23:25:08,123454
2023-10-15 23:25:09,124555
2023-10-15 23:25:10,125534
2023-10-15 23:25:11,124935
2023-10-15 23:25:12,124585
2023-10-15 23:25:13,125566
2023-10-15 23:25:14,124285
2023-10-15 23:25:15,125232
2023-10-15 23:25:16,124123
2023-10-15 23:25:17,125871
2023-10-15 23:25:18,124381
2023-10-15 23:25:19,124983
2023-10-15 23:25:20,125956
