"Time","latency"
2023-10-16 20:00:04.000,161083
2023-10-16 20:00:05.000,141633
2023-10-16 20:00:06.000,140626
2023-10-16 20:00:07.000,138865
2023-10-16 20:00:08.000,138138
2023-10-16 20:00:09.000,139513
2023-10-16 20:00:10.000,138782
2023-10-16 20:00:11.000,143158
2023-10-16 20:00:12.000,140416
2023-10-16 20:00:13.000,143134
2023-10-16 20:00:14.000,139324
2023-10-16 20:00:15.000,139899
2023-10-16 20:00:16.000,141169
2023-10-16 20:00:17.000,142594
2023-10-16 20:00:18.000,149287
2023-10-16 20:00:19.000,148352
2023-10-16 20:00:20.000,144038
2023-10-16 20:00:21.000,147713
2023-10-16 20:00:22.000,141276
2023-10-16 20:00:23.000,142193
2023-10-16 20:00:24.000,144831
2023-10-16 20:00:25.000,142802
2023-10-16 20:00:26.000,146113
2023-10-16 20:00:27.000,144658
2023-10-16 20:00:28.000,143813
2023-10-16 20:00:29.000,145271
2023-10-16 20:00:30.000,140763
2023-10-16 20:00:31.000,142549
2023-10-16 20:00:32.000,139759
2023-10-16 20:00:33.000,147362
2023-10-16 20:00:34.000,405906
2023-10-16 20:00:35.000,3719242
2023-10-16 20:00:36.000,4261220
2023-10-16 20:00:37.000,3751033
2023-10-16 20:00:38.000,3270214
2023-10-16 20:00:39.000,2722505
2023-10-16 20:00:40.000,2243011
2023-10-16 20:00:41.000,1769579
2023-10-16 20:00:42.000,1222242
2023-10-16 20:00:43.000,736183
2023-10-16 20:00:44.000,277424
2023-10-16 20:00:45.000,144862
2023-10-16 20:00:46.000,143751
2023-10-16 20:00:47.000,141717
2023-10-16 20:00:48.000,143324
2023-10-16 20:00:49.000,140381
2023-10-16 20:00:50.000,144659
2023-10-16 20:00:51.000,143926
2023-10-16 20:00:52.000,143520
2023-10-16 20:00:53.000,145018
2023-10-16 20:00:54.000,144682
2023-10-16 20:00:55.000,139748
2023-10-16 20:00:56.000,139711
2023-10-16 20:00:57.000,140970
2023-10-16 20:00:58.000,136080
2023-10-16 20:00:59.000,133570
2023-10-16 20:01:00.000,142030
2023-10-16 20:01:01.000,145047
