"Time","latency"
2023-10-15 21:52:17,122298
2023-10-15 21:52:18,119404
2023-10-15 21:52:19,119022
2023-10-15 21:52:20,118438
2023-10-15 21:52:21,118220
2023-10-15 21:52:22,117569
2023-10-15 21:52:23,118067
2023-10-15 21:52:24,118294
2023-10-15 21:52:25,118333
2023-10-15 21:52:26,118364
2023-10-15 21:52:27,118426
2023-10-15 21:52:28,118005
2023-10-15 21:52:29,118235
2023-10-15 21:52:30,118316
2023-10-15 21:52:31,118084
2023-10-15 21:52:32,118161
2023-10-15 21:52:33,118056
2023-10-15 21:52:34,118090
2023-10-15 21:52:35,118513
2023-10-15 21:52:36,118908
2023-10-15 21:52:37,118766
2023-10-15 21:52:38,118863
2023-10-15 21:52:39,118318
2023-10-15 21:52:40,118924
2023-10-15 21:52:41,118855
2023-10-15 21:52:42,118740
2023-10-15 21:52:43,118862
2023-10-15 21:52:44,119372
2023-10-15 21:52:45,118018
2023-10-15 21:52:46,117685
2023-10-15 21:52:47,117983
2023-10-15 21:52:48,118850
2023-10-15 21:52:49,118902
2023-10-15 21:52:50,118768
2023-10-15 21:52:51,118605
2023-10-15 21:52:52,118748
2023-10-15 21:52:53,118746
2023-10-15 21:52:54,118875
2023-10-15 21:52:55,118640
2023-10-15 21:52:56,118199
2023-10-15 21:52:57,118645
2023-10-15 21:52:58,118439
2023-10-15 21:52:59,117900
2023-10-15 21:53:00,118233
2023-10-15 21:53:01,118724
2023-10-15 21:53:02,118757
2023-10-15 21:53:03,118673
2023-10-15 21:53:04,118757
2023-10-15 21:53:05,119120
2023-10-15 21:53:06,119092
2023-10-15 21:53:07,118739
2023-10-15 21:53:08,118676
2023-10-15 21:53:09,118891
2023-10-15 21:53:10,118908
2023-10-15 21:53:11,118159
2023-10-15 21:53:12,118018
2023-10-15 21:53:13,118921
2023-10-15 21:53:14,118635
2023-10-15 21:53:15,118462
2023-10-15 21:53:16,118120
2023-10-15 21:53:17,119658
2023-10-15 21:53:18,120188
2023-10-15 21:53:19,120730
2023-10-15 21:53:20,120128
2023-10-15 21:53:21,120120
2023-10-15 21:53:22,119465
2023-10-15 21:53:23,120439
2023-10-15 21:53:24,119662
2023-10-15 21:53:25,120144
2023-10-15 21:53:26,119989
2023-10-15 21:53:27,120085
2023-10-15 21:53:28,120214
2023-10-15 21:53:29,120606
2023-10-15 21:53:30,119864
2023-10-15 21:53:31,120162
2023-10-15 21:53:32,120066
2023-10-15 21:53:33,120453
2023-10-15 21:53:34,120275
2023-10-15 21:53:35,119361
2023-10-15 21:53:36,120467
2023-10-15 21:53:37,119548
2023-10-15 21:53:38,120151
2023-10-15 21:53:39,120099
2023-10-15 21:53:40,120297
2023-10-15 21:53:41,120405
2023-10-15 21:53:42,120188
2023-10-15 21:53:43,119286
2023-10-15 21:53:44,119651
2023-10-15 21:53:45,119284
2023-10-15 21:53:46,119304
2023-10-15 21:53:47,120320
2023-10-15 21:53:48,120310
2023-10-15 21:53:49,120401
2023-10-15 21:53:50,120436
2023-10-15 21:53:51,120497
2023-10-15 21:53:52,120402
2023-10-15 21:53:53,120386
2023-10-15 21:53:54,120475
2023-10-15 21:53:55,120490
2023-10-15 21:53:56,120302
2023-10-15 21:53:57,120525
2023-10-15 21:53:58,120505
2023-10-15 21:53:59,120224
2023-10-15 21:54:00,119730
2023-10-15 21:54:01,120006
2023-10-15 21:54:02,120437
2023-10-15 21:54:03,119775
2023-10-15 21:54:04,120210
2023-10-15 21:54:05,120144
2023-10-15 21:54:06,120346
2023-10-15 21:54:07,120400
2023-10-15 21:54:08,121473
2023-10-15 21:54:09,119584
2023-10-15 21:54:10,120164
2023-10-15 21:54:11,119189
2023-10-15 21:54:12,119563
2023-10-15 21:54:13,120099
2023-10-15 21:54:14,120041
2023-10-15 21:54:15,119040
2023-10-15 21:54:16,119152
2023-10-15 21:54:17,119805
2023-10-15 21:54:18,119669
2023-10-15 21:54:19,119245
2023-10-15 21:54:20,118734
2023-10-15 21:54:21,118820
2023-10-15 21:54:22,118698
2023-10-15 21:54:23,119208
2023-10-15 21:54:24,119781
2023-10-15 21:54:25,119766
2023-10-15 21:54:26,119874
2023-10-15 21:54:27,120153
2023-10-15 21:54:28,119880
2023-10-15 21:54:29,118974
2023-10-15 21:54:30,119490
2023-10-15 21:54:31,119457
2023-10-15 21:54:32,120179
2023-10-15 21:54:33,120047
2023-10-15 21:54:34,119427
2023-10-15 21:54:35,119903
2023-10-15 21:54:36,120173
2023-10-15 21:54:37,119760
2023-10-15 21:54:38,119578
2023-10-15 21:54:39,119477
2023-10-15 21:54:40,120264
2023-10-15 21:54:41,119887
2023-10-15 21:54:42,120022
2023-10-15 21:54:43,118981
2023-10-15 21:54:44,119223
2023-10-15 21:54:45,119691
2023-10-15 21:54:46,119918
2023-10-15 21:54:47,120274
2023-10-15 21:54:48,120155
2023-10-15 21:54:49,120472
2023-10-15 21:54:50,120351
2023-10-15 21:54:51,120030
2023-10-15 21:54:52,120231
2023-10-15 21:54:53,119787
2023-10-15 21:54:54,120193
2023-10-15 21:54:55,120271
2023-10-15 21:54:56,119407
2023-10-15 21:54:57,120425
2023-10-15 21:54:58,120039
2023-10-15 21:54:59,120094
2023-10-15 21:55:00,118995
2023-10-15 21:55:01,119367
2023-10-15 21:55:02,119148
2023-10-15 21:55:03,119462
2023-10-15 21:55:04,119679
2023-10-15 21:55:05,120171
2023-10-15 21:55:06,120430
2023-10-15 21:55:07,119060
2023-10-15 21:55:08,119391
2023-10-15 21:55:09,118732
2023-10-15 21:55:10,119237
2023-10-15 21:55:11,119347
2023-10-15 21:55:12,120025
2023-10-15 21:55:13,120106
2023-10-15 21:55:14,120034
2023-10-15 21:55:15,119987
2023-10-15 21:55:16,119919
2023-10-15 21:55:17,120390
2023-10-15 21:55:18,120111
2023-10-15 21:55:19,119852
2023-10-15 21:55:20,120371
2023-10-15 21:55:21,119795
2023-10-15 21:55:22,119667
2023-10-15 21:55:23,120057
2023-10-15 21:55:24,119946
2023-10-15 21:55:25,120521
2023-10-15 21:55:26,120518
2023-10-15 21:55:27,120249
2023-10-15 21:55:28,119997
2023-10-15 21:55:29,120737
2023-10-15 21:55:30,120592
2023-10-15 21:55:31,120541
2023-10-15 21:55:32,120312
2023-10-15 21:55:33,120390
2023-10-15 21:55:34,120148
2023-10-15 21:55:35,119291
2023-10-15 21:55:36,119381
2023-10-15 21:55:37,120023
2023-10-15 21:55:38,119978
2023-10-15 21:55:39,120047
2023-10-15 21:55:40,119201
2023-10-15 21:55:41,120277
2023-10-15 21:55:42,119177
2023-10-15 21:55:43,119398
2023-10-15 21:55:44,119965
2023-10-15 21:55:45,119247
2023-10-15 21:55:46,119212
2023-10-15 21:55:47,119108
2023-10-15 21:55:48,119187
2023-10-15 21:55:49,120082
2023-10-15 21:55:50,121179
2023-10-15 21:55:51,119563
2023-10-15 21:55:52,119533
2023-10-15 21:55:53,119627
2023-10-15 21:55:54,121336
2023-10-15 21:55:55,119411
2023-10-15 21:55:56,120551
2023-10-15 21:55:57,120519
2023-10-15 21:55:58,121078
2023-10-15 21:55:59,121089
2023-10-15 21:56:00,121205
2023-10-15 21:56:01,120839
2023-10-15 21:56:02,119365
2023-10-15 21:56:03,119841
2023-10-15 21:56:04,119332
2023-10-15 21:56:05,119746
2023-10-15 21:56:06,119506
2023-10-15 21:56:07,119892
2023-10-15 21:56:08,120092
2023-10-15 21:56:09,121202
2023-10-15 21:56:10,120670
2023-10-15 21:56:11,121294
2023-10-15 21:56:12,120594
2023-10-15 21:56:13,120609
2023-10-15 21:56:14,120335
2023-10-15 21:56:15,120912
2023-10-15 21:56:16,121573
2023-10-15 21:56:17,121385
2023-10-15 21:56:18,122345
2023-10-15 21:56:19,122026
2023-10-15 21:56:20,121285
2023-10-15 21:56:21,120967
2023-10-15 21:56:22,121900
2023-10-15 21:56:23,121398
2023-10-15 21:56:24,122409
2023-10-15 21:56:25,122720
2023-10-15 21:56:26,122259
2023-10-15 21:56:27,121865
2023-10-15 21:56:28,122465
2023-10-15 21:56:29,120776
2023-10-15 21:56:30,121041
2023-10-15 21:56:31,122035
2023-10-15 21:56:32,121051
2023-10-15 21:56:33,121398
2023-10-15 21:56:34,121751
2023-10-15 21:56:35,121037
2023-10-15 21:56:36,120795
2023-10-15 21:56:37,120704
2023-10-15 21:56:38,121034
2023-10-15 21:56:39,121261
2023-10-15 21:56:40,121189
2023-10-15 21:56:41,122043
2023-10-15 21:56:42,122896
2023-10-15 21:56:43,123331
2023-10-15 21:56:44,122898
2023-10-15 21:56:45,121156
2023-10-15 21:56:46,120836
2023-10-15 21:56:47,124542
2023-10-15 21:56:48,129934
2023-10-15 21:56:49,127542
2023-10-15 21:56:50,127176
2023-10-15 21:56:51,128530
2023-10-15 21:56:52,128177
2023-10-15 21:56:53,128699
2023-10-15 21:56:54,129127
2023-10-15 21:56:55,128860
2023-10-15 21:56:56,129519
2023-10-15 21:56:57,138079
2023-10-15 21:56:58,131168
2023-10-15 21:56:59,128830
2023-10-15 21:57:00,130602
2023-10-15 21:57:01,129874
2023-10-15 21:57:02,128745
2023-10-15 21:57:03,130018
2023-10-15 21:57:04,127791
2023-10-15 21:57:05,127806
2023-10-15 21:57:06,128840
2023-10-15 21:57:07,128050
2023-10-15 21:57:08,128653
2023-10-15 21:57:10,126689
2023-10-15 21:57:11,129083
2023-10-15 21:57:12,130641
2023-10-15 21:57:13,128487
2023-10-15 21:57:14,128556
2023-10-15 21:57:15,127316
2023-10-15 21:57:16,128789
2023-10-15 21:57:17,127031
