"Time","latency"
2023-10-16 18:31:44,123218
2023-10-16 18:31:45,119207
2023-10-16 18:31:46,118827
2023-10-16 18:31:47,118641
2023-10-16 18:31:48,118994
2023-10-16 18:33:01,120896
2023-10-16 18:33:02,118372
2023-10-16 18:33:03,118264
2023-10-16 18:33:04,118621
2023-10-16 18:33:05,119176
2023-10-16 18:33:06,118680
2023-10-16 18:33:07,118061
2023-10-16 18:33:08,118659
2023-10-16 18:33:09,118481
2023-10-16 18:33:10,118817
2023-10-16 18:33:11,119414
2023-10-16 18:33:12,118171
2023-10-16 18:33:13,118360
2023-10-16 18:33:14,118237
2023-10-16 18:33:15,118336
2023-10-16 18:33:16,118342
2023-10-16 18:33:17,118623
2023-10-16 18:33:18,119664
2023-10-16 18:33:19,118992
2023-10-16 18:33:20,118528
2023-10-16 18:33:21,119562
2023-10-16 18:33:22,118675
2023-10-16 18:33:23,118845
2023-10-16 18:33:24,119087
2023-10-16 18:33:25,119054
2023-10-16 18:33:26,118572
2023-10-16 18:33:27,119271
2023-10-16 18:33:28,118952
2023-10-16 18:33:29,118691
2023-10-16 18:33:30,118310
2023-10-16 18:33:31,118670
2023-10-16 18:33:32,118536
2023-10-16 18:33:33,118435
2023-10-16 18:33:34,118161
2023-10-16 18:33:35,118531
2023-10-16 18:33:36,120243
2023-10-16 18:33:37,119854
2023-10-16 18:33:38,118769
2023-10-16 18:33:39,118532
2023-10-16 18:33:40,118786
2023-10-16 18:33:41,118880
2023-10-16 18:33:42,118849
2023-10-16 18:33:43,118016
2023-10-16 18:33:44,118741
2023-10-16 18:33:45,118651
2023-10-16 18:33:46,118575
2023-10-16 18:33:47,118720
2023-10-16 18:33:48,118581
2023-10-16 18:33:49,118102
2023-10-16 18:33:50,118660
2023-10-16 18:33:51,118538
2023-10-16 18:33:52,119114
2023-10-16 18:33:53,118348
2023-10-16 18:33:54,118203
2023-10-16 18:33:55,118302
2023-10-16 18:33:56,118269
2023-10-16 18:33:57,118001
2023-10-16 18:33:58,117881
2023-10-16 18:33:59,118014
2023-10-16 18:34:00,118106
2023-10-16 18:34:01,119173
2023-10-16 18:34:02,120263
2023-10-16 18:34:03,119323
2023-10-16 18:34:04,119347
